name,type,formatted_address,price_level,rating,review,user_ratings_total,url \n
Denver,"Denver, CO, USA","https://maps.google.com/?q=Denver,+CO,+USA&ftid=0x876b80aa231f17cf:0x118ef4f8278a36d6" \n
11th Avenue Hostel,"1112 N Broadway, Denver, CO 80203, USA",3.5,1150,https://maps.google.com/?cid=390385932162702357
Sheraton Denver Downtown Hotel,"1550 Court Pl, Denver, CO 80202, USA",4.2,5768,https://maps.google.com/?cid=1052863587923331358 
Sonesta Denver Downtown,"1450 Glenarm Pl, Denver, CO 80202, USA",4,2122,https://maps.google.com/?cid=7472136418059749342 
"The Brown Palace Hotel and Spa, Autograph Collection","321 17th St, Denver, CO 80202, USA",3,4.5,3759,https://maps.google.com/?cid=17774163517110736143 
Hyatt Regency Denver At Colorado Convention Center,"650 15th St, Denver, CO 80202, USA",4.5,5659,https://maps.google.com/?cid=9324882388726215814 \n
"Holiday Inn Express Denver Downtown, an IHG Hotel","1715 Tremont Pl, Denver, CO 80202, USA",3.8,1250,https://maps.google.com/?cid=5251039784232551517 \n
Embassy Suites by Hilton Denver Downtown Convention Center,"1420 Stout St, Denver, CO 80202, USA",4.2,2836,https://maps.google.com/?cid=6306663315802421211 \n
Warwick Denver,"1776 Grant St, Denver, CO 80203, USA",3.7,2179,https://maps.google.com/?cid=15732107965961099961 \n
Grand Hyatt Denver,"1750 Welton St, Denver, CO 80202, USA",4.5,3189,https://maps.google.com/?cid=12477329785546461539 \n
Hampton Inn & Suites Denver-Downtown,"1845 Sherman St, Denver, CO 80203, USA",4.2,1002,https://maps.google.com/?cid=10657738090816188846 \n
